Youtuber,category,Title,Country,Abbreviation,channel_type,created_month,subscribers,video views,uploads,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,created_year,created_date
MC Divertida,Entertainment,MC Divertida,Brazil,BR,Entertainment,Jan,13200000,5224764969.0,413,64517000.0,16100.0,258100.0,193600.0,3100000.0,100000.0,2018.0,17.0
The Infographics Show,Education,The Infographics Show,United States,US,Education,Feb,13200000,5263540904.0,4279,51820000.0,13000.0,207300.0,155500.0,2500000.0,100000.0,2011.0,26.0
jbalvinVEVO,Music,jbalvinVEVO,Colombia,CO,Music,Sep,13200000,20743586601.0,237,86270000.0,21600.0,345100.0,258800.0,4100000.0,100000.0,2010.0,30.0
ýýýýýýTwinsFromRussia,People & Blogs,ýýýýýýTwinsFromRussia,United States,US,People,May,13200000,9378175604.0,6888,119389000.0,29800.0,477600.0,358200.0,5700000.0,300000.0,2011.0,16.0
Technology Gyan,Science & Technology,Technology Gyan,India,IN,Tech,Nov,13200000,1138262456.0,1022,18518000.0,4600.0,74100.0,55600.0,888900.0,100000.0,2015.0,17.0
CookingShooking Hindi,People & Blogs,CookingShooking Hindi,India,IN,Howto,Apr,13200000,1758603195.0,393,11490000.0,2900.0,46000.0,34500.0,551500.0,100000.0,2017.0,4.0
Ryan Trahan,Entertainment,Ryan Trahan,United States,US,People,Jun,13100000,2182651464.0,33,248.0,0.06,0.99,0.74,12.0,1.0,2022.0,27.0
Alex Gonzaga Official,People & Blogs,Alex Gonzaga Official,Philippines,PH,People,Jul,13100000,1401914513.0,287,10848000.0,2700.0,43400.0,32500.0,520700.0,100000.0,2017.0,18.0
WiederDude,unknown,WiederDude,United States,US,Games,Jun,13100000,2733682792.0,289,56894000.0,14200.0,227600.0,170700.0,2700000.0,100000.0,2016.0,12.0
Ian Boggs,Entertainment,Ian Boggs,Unknown,,Entertainment,Mar,13100000,9110348202.0,1327,329312000.0,82300.0,1300000.0,987900.0,15800000.0,700000.0,2010.0,25.0
Lokdhun Punjabi,Music,Lokdhun Punjabi,India,IN,Music,Dec,13100000,4712624489.0,1262,34438000.0,8600.0,137800.0,103300.0,1700000.0,100000.0,2010.0,27.0
Knowledge Tv ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,People & Blogs,Knowledge Tv ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,Unknown,,People,Nov,13100000,1936582704.0,7,2.0,0.0,0.01,0.01,0.1,100000.0,2019.0,24.0
Painzeiro,People & Blogs,Painzeiro,Brazil,BR,People,Nov,13100000,2555801802.0,1077,43990000.0,11000.0,176000.0,132000.0,2100000.0,100000.0,2015.0,6.0
Peppa Pig em Portuguï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,Film & Animation,Peppa Pig em Portuguï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,Brazil,BR,Film,May,13100000,4214172991.0,1365,27340000.0,6800.0,109400.0,82000.0,1300000.0,100000.0,2014.0,6.0
ýýýýýýýýýýýýýýý Ms Yeah,People & Blogs,ýýýýýýýýýýýýýýý Ms Yeah,United States,US,Howto,Feb,13100000,4399833602.0,435,60661000.0,15200.0,242600.0,182000.0,2900000.0,100000.0,2017.0,15.0
Hungria Hip Hop,Music,Hungria Hip Hop,Brazil,BR,Music,Apr,13100000,4608751851.0,73,48223000.0,12100.0,192900.0,144700.0,2300000.0,700000.0,2013.0,13.0
